CustomerID,Age,Gender,AnnualIncome,TimeOnSite,ItemsInCart,LastPurchaseAmount,TotalSpending,IsSubscribed,LastPurchaseDate
1001,66,Male,106,11.6,9,5.0,45.97,1,2025-03-15
1002,18,Other,72,18.4,5,9.54,47.52,1,2025-03-12
1003,60,Female,65,16.9,3,5.0,8.42,0,2025-06-22
1004,55,Female,88,19.0,0,68.98,704.96,1,2024-11-20
1005,48,Male,35,19.0,6,5.0,13.66,0,2025-02-12
1006,59,Male,111,11.3,6,38.71,191.61,0,2024-10-30
1007,60,Other,38,11.4,7,5.0,37.1,1,2025-03-08
1008,25,Male,123,4.4,3,5.0,29.23,0,2025-07-01
1009,27,Female,34,15.2,5,5.0,7.04,0,2025-01-29
1010,68,Male,82,7.9,0,14.27,157.91,1,2025-04-21
1011,19,Female,33,4.1,7,59.02,1092.07,0,2025-05-23
1012,52,Female,118,13.8,3,17.7,175.89,1,2025-10-15
1013,55,Male,75,4.2,9,5.0,32.88,0,2025-09-29
1014,42,Male,97,18.2,0,5.84,59.61,1,2025-01-16
1015,30,Male,44,7.1,0,21.44,91.53,1,2025-10-11
1016,41,Male,90,18.5,2,7.23,68.64,0,2025-07-22
1017,53,Female,81,19.6,6,57.8,297.24,1,2025-10-17
1018,45,Female,63,10.7,2,5.0,26.61,0,2025-07-21
1019,74,Male,53,5.3,6,5.0,31.92,0,2025-01-12
1020,48,Male,56,17.0,1,73.43,331.7,1,2025-04-30
1021,59,Female,73,13.8,1,23.68,116.66,0,2025-02-06
1022,32,Female,47,3.0,7,32.69,134.98,0,2025-08-27
1023,71,Male,37,12.8,4,772.11,6121.4,1,2025-04-14
1024,23,Male,144,12.1,4,25.69,1085.62,0,2025-02-12
1025,31,Female,91,8.0,8,4.18,4.18,1,2024-11-30
1026,51,Male,49,9.4,1,7.69,37.29,1,2025-07-07
1027,20,Male,118,8.4,5,5.0,24.0,0,2025-05-14
1028,44,Male,76,4.5,3,8.41,168.47,0,2025-06-15
1029,32,Female,111,13.9,6,5.0,105.96,0,2025-08-21
1030,66,Female,47,14.7,8,66.24,513.43,0,2025-10-18
1031,70,Female,40,19.5,6,76.86,832.49,0,2025-01-02
1032,40,Male,61,16.4,1,25.71,116.31,0,2025-02-19
1033,18,Male,134,15.4,4,5.0,84.69,0,2024-11-15
1034,34,Male,121,9.2,2,34.32,256.01,1,2025-04-11
1035,54,Male,120,20.0,8,23.8,147.89,1,2025-05-27
1036,68,Female,81,11.1,4,5.41,72.34,1,2025-08-18
1037,49,Female,35,8.5,8,8.73,104.71,0,2025-02-24
1038,61,Male,91,10.5,1,88.2,698.75,0,2025-05-29
